x,y
58.8003,55.4615
58.5834,55.7406
58.4647,55.9296
58.2969,56.0394
58.164,56.0314
57.938,56.1982
57.394,56.7802
57.108,57.0162
56.9255,56.9283
56.8749,56.7595
56.958,56.4559
56.9476,56.0474
56.9085,55.7946
56.8164,55.4514
56.6999,55.1939
56.4353,54.9554
56.1868,54.8622
55.9013,54.8312
55.6169,54.7153
55.4425,54.5487
55.1458,54.3733
54.9051,54.283
54.5952,54.1075
54.3441,53.8327
53.9705,53.5664
53.2786,53.0504
52.49,52.5398
51.5958,51.8021
50.6061,50.9158
49.3962,49.908
48.1365,48.7335
46.681,47.3749
44.9236,45.9778
43.0779,44.4054
41.0962,42.7915
39.0691,41.2363
37.3463,39.8538
35.6804,38.5309
34.3012,37.2726
32.863,36.2755
31.6695,35.3781
30.6821,34.5944
29.853,34.0302
29.1689,33.5728
28.7773,33.191
28.4868,33.0167
28.3551,32.8257
28.3838,32.8083
28.4704,32.7823
28.5981,32.799
28.667,32.8783
28.6806,32.9692
28.8324,32.9798
28.9554,33.0164
29.1513,32.9461
29.3369,32.9656
29.4875,32.9764
29.5417,33.0374
29.607,33.0334
29.6893,33.0623
29.781,33.1331
29.9453,33.2565
30.0783,33.3628
30.2647,33.3048
30.5461,33.399
30.8826,33.4567
31.4659,33.4638
32.3864,33.3712
33.5486,33.4274
34.7624,33.4117
36.1467,33.3731
37.7224,33.3276
39.4765,33.2932
41.33,33.2575
43.3986,33.1582
45.52,33.0495
47.7376,32.8658
50.1134,32.7428
52.5103,32.5751
54.8404,32.3097
57.3053,31.9994
59.6506,31.7459
62.1494,31.4144
64.4789,31.0366
66.4326,30.6337
68.3844,30.3657
70.2041,30.0204
72.0908,29.6112
73.8365,29.3157
75.5739,29.1632
77.2191,29.0249
78.796,28.8882
80.4583,28.861
82.0358,28.864
83.5396,28.8115
84.9517,28.8556
86.2941,28.7859
87.5475,28.8302
88.6717,28.7629
89.6916,28.8361
90.3821,28.939
90.9128,29.0676
91.296,29.258
91.3274,29.4471
91.3085,29.6123
91.1426,29.8055
90.9527,30.0023
90.7314,30.1651
90.5303,30.2632
90.2575,30.2967
89.9862,30.3268
89.7871,30.3174
89.5419,30.4216
89.3652,30.4152
89.2193,30.5075
88.9897,30.6315
88.8366,30.7784
88.6371,30.8674
88.5288,30.9111
88.3745,31.0447
88.2549,31.0898
88.0483,31.2089
87.8806,31.3533
87.8081,31.5744
87.6748,31.7749
87.6071,32.0417
87.4986,32.2374
87.4306,32.5188
87.338,32.7728
87.1947,33.0758
87.0543,33.4093
86.886,33.9594
86.4915,34.6197
86.0338,35.3797
85.6066,36.1689
85.1557,36.8615
84.6255,37.5956
84.1547,38.3666
83.949,39.0902
83.6493,39.7644
83.3818,40.4201
82.9488,41.2394
82.4264,42.0708
81.6293,43.3873
80.4217,45.3545
79.1715,47.3983
78.016,49.2245
76.8452,50.94
75.9173,52.7622
75.1206,54.4053
74.4798,55.8735
73.9737,56.9717
73.3883,57.876
72.7038,59.0744
71.8477,60.4423
71.0013,61.8129
69.9964,63.1942
69.1871,64.557
68.3087,65.9548
67.5278,67.2325
66.8726,68.313
66.3416,69.1345
65.8456,69.8594
65.4758,70.4034
65.1929,71.0531
64.9236,72.6053
64.7781,72.9172
64.7774,73.0404
64.7725,73.1075
64.8739,73.0961
64.8982,73.0366
64.9537,72.9526
64.947,72.7856
64.9625,71.7713
64.9954,71.5846
65.0707,71.4945
65.0729,71.3531
65.1213,71.1101
65.1404,71.01
65.2493,70.9553
65.2512,70.8115
65.3018,70.7062
65.3527,70.6836
65.4407,70.6978
65.4436,70.7031
65.498,70.7109
65.5822,70.6637
65.6638,70.5222
65.701,70.3667
65.8089,70.2269
66.0297,69.9375
66.2761,69.682
66.6617,69.2421
67.3902,68.7208
68.1114,67.8471
68.9753,66.9175
