x,y
58.5504,23.1771
57.0577,25.3749
55.4646,27.4186
54.3487,29.5779
53.1434,31.3182
52.0928,32.8085
51.0552,34.0689
50.1316,35.2071
49.245,36.104
48.8773,37.1434
48.3996,37.4273
47.4962,37.4467
46.6634,37.5063
46.0197,37.6149
45.3661,37.5516
44.664,37.3937
44.0997,37.3493
43.7645,37.8612
43.1642,38.9372
42.6886,39.3479
42.5843,39.2602
42.5078,39.2655
42.4266,39.2701
42.4344,39.1769
42.3992,39.1207
42.4834,39.0275
42.4062,38.9957
42.3359,39.1622
42.2679,39.3601
42.2483,39.3048
42.1163,39.3206
42.0157,39.4869
41.9977,39.5768
41.9225,39.6518
41.8649,39.7044
41.8929,39.8294
41.7976,39.9344
41.2302,40.6331
40.6964,41.2985
40.4876,41.733
40.4846,42.1507
40.2784,42.7762
40.0903,43.4353
39.9246,44.094
39.9506,44.5902
40.1252,45.0306
40.1453,45.4922
40.111,46.2613
40.2747,46.927
40.5913,47.5366
40.7124,48.0421
40.9615,48.6125
41.2324,49.0181
41.4536,49.5881
41.739,50.2491
42.0434,50.8142
42.4545,51.3764
42.8183,51.9607
43.2118,52.583
43.5946,53.2131
44.0383,53.8255
44.4105,54.3165
44.9351,54.8961
45.6251,55.3209
46.237,55.9934
46.6942,56.6146
47.1337,57.1993
47.843,57.7488
48.7206,58.2842
49.7514,58.8506
50.7569,59.7232
51.5415,60.4428
52.1061,60.982
52.7558,61.534
53.7026,62.0612
54.5401,62.5748
55.4889,63.0091
56.4512,63.3789
57.4622,63.9304
58.532,64.4962
59.5214,65.2282
60.382,65.9085
60.9143,66.5206
61.5079,66.9733
62.2691,67.4986
62.9473,67.6339
63.5595,67.9295
64.1191,67.9694
64.9292,68.8338
65.6779,69.1975
66.4122,69.6667
67.0048,70.1042
16.4458,55.9964
16.6346,56.0246
16.9128,55.9556
17.3199,55.6417
