x,y
58.9966,66.6182
57.0531,68.3227
56.5327,69.3746
55.9827,70.4336
55.5491,71.3189
55.1523,71.9008
54.7602,72.2016
54.8843,72.2888
55.0996,72.4083
55.324,72.4507
55.5563,72.6017
55.643,73.0541
55.6308,73.6716
55.3561,73.9152
54.2554,73.6602
54.2647,73.1555
54.2876,72.8143
54.3158,72.3886
54.2219,72.0334
54.0558,71.3084
53.9313,70.408
53.8047,69.5424
52.9325,65.8465
52.8532,64.1775
52.5299,60.9923
52.36,58.3792
52.1022,56.672
51.867,55.1675
51.4974,53.9174
51.6265,52.4662
51.6514,51.0183
51.9426,49.8042
51.9312,48.948
52.089,48.3561
52.3018,47.8696
52.4173,47.4613
52.4062,47.5269
52.5285,47.6148
52.8327,47.8673
53.1583,48.3054
53.4751,48.8711
54.0835,49.4463
54.8565,50.165
55.9411,50.7785
57.1831,51.9858
58.5436,52.9141
59.9376,53.6403
61.4621,54.6832
63.2032,55.2419
65.0778,55.3573
66.9752,56.0465
69.0545,56.8653
71.2401,58.4528
73.5877,58.8792
75.6933,59.4096
77.3365,59.6943
79.0805,60.1744
80.6055,60.484
82.0404,60.8272
83.5082,61.0787
84.9791,61.236
86.4788,61.4537
88.0838,61.4562
89.0754,61.5989
89.8998,61.8984
90.5274,62.1885
90.7373,62.5249
90.6608,62.5611
90.0966,63.1712
90.0396,63.5672
89.4865,63.929
88.8125,64.26
87.6569,64.7298
86.3517,65.263
84.9074,66.1107
83.2221,66.7396
61.8746,75.1064
55.8834,76.2702
51.7692,76.9544
48.8289,77.7096
46.1506,76.2621
44.1106,76.5117
42.8984,77.4532
42.4752,78.9446
42.29,77.8474
42.5093,77.8766
42.9148,77.795
43.2258,77.8025
43.5543,77.8032
44.0161,77.7996
44.6559,77.7182
45.1374,77.1346
45.643,77.7031
45.9757,77.5174
46.1184,77.3845
46.133,78.503
46.0126,78.3759
45.7592,76.8069
45.4664,76.1538
45.2732,75.8982
45.1154,75.7801
45.1073,75.9768
45.5489,75.9075
47.4191,77.3119
49.2805,77.1299
51.6363,76.7644
54.5862,76.1811
58.075,75.1382
61.7335,73.8776
