x,y
32.6875,53.505
32.1189,53.34
31.7545,53.2147
31.3286,53.1491
30.8787,52.7448
30.2544,52.243
29.4236,51.9544
28.5099,51.5379
28.0582,51.557
28.0467,51.9733
28.0404,52.2041
28.0074,51.9993
28.0261,51.3507
28.0646,51.0055
28.0631,50.4947
28.0612,50.0946
28.0339,49.7485
28.1092,49.3948
28.1734,49.1599
28.2561,48.9479
28.4595,48.7919
28.5293,48.8432
28.607,48.9494
28.716,48.9778
28.8589,49.063
28.9588,49.097
28.998,49.0776
29.0792,48.983
29.1966,49.066
29.1946,49.0139
29.2319,49.0666
29.1687,48.9356
29.2845,48.9751
29.3353,48.9099
29.4152,48.8834
29.4363,49.0869
29.7308,49.0457
31.2577,47.9167
33.3383,46.9058
34.7463,47.0704
35.2777,47.9106
36.3963,48.4151
37.7955,48.3278
39.7103,47.9982
