x,y
23.5195,13.3093
23.516,13.3811
23.6179,13.2169
23.678,13.0916
24.0431,12.8172
24.1036,12.891
24.1098,12.9817
24.1063,13.0337
24.0479,12.9926
23.9787,12.984
23.9037,13.054
23.8785,13.1107
23.8799,13.11
23.9249,13.119
23.9999,13.0949
24.0502,13.1445
24.0061,13.1872
23.8843,13.2641
23.8404,13.3373
23.8073,13.4071
23.747,13.4341
23.7133,13.5161
23.673,13.5353
23.6453,13.6101
23.605,13.6145
23.5851,13.6329
23.5826,13.6646
23.4753,13.6701
23.4103,13.6592
23.2116,13.6978
23.0331,13.7101
22.7604,13.7068
22.408,13.7617
21.8847,13.6775
20.9648,13.7698
20.129,13.9376
18.9483,14.0866
17.7152,14.2025
16.3734,14.3354
15.1479,14.3271
13.865,14.4411
12.7216,14.4542
11.6546,14.1002
10.47,14.0778
9.18675,13.9928
7.91425,13.8702
6.56793,13.6552
5.26048,13.4936
3.90098,13.1382
2.4508,12.86
1.26107,12.5253
-0.000804209,12.3335
-1.23776,12.129
-2.36616,11.8517
-3.42681,11.26
-4.66639,10.8001
-6.0622,10.2109
-7.33166,9.61421
-8.60967,8.9042
-9.96571,8.38429
-11.2336,7.78704
-12.4554,7.05313
-13.6332,6.39763
-14.8085,5.83189
-15.9325,5.35431
-17.2581,4.91276
-18.4698,4.30255
-19.6171,3.76703
-20.9669,3.36747
-22.4554,3.12575
-23.8645,2.66032
-25.2778,2.40289
-26.5419,2.19942
-27.4906,2.01139
-28.2322,1.90641
-28.5344,1.84157
-28.4816,1.62581
-28.4796,1.54769
-28.4275,1.53372
-28.3697,1.52607
-28.2813,1.58117
-28.1319,1.5719
-28.0165,1.55753
-27.7463,1.47867
-27.4238,1.35008
-27.0521,1.2544
-26.2779,0.961377
-25.4748,0.738064
-24.485,0.43797
-23.432,0.0690216
-22.2912,-0.263769
-21.0915,-0.649298
-19.8915,-0.899565
-18.8343,-1.17775
-17.5464,-1.72858
-16.2667,-2.34112
-14.9909,-2.87813
-13.6337,-3.53945
-12.2232,-4.25763
-10.8285,-4.91766
-9.46226,-5.55159
-7.98408,-6.41072
-6.55574,-7.09712
-4.87707,-8.10718
-3.24871,-8.9723
-1.41802,-10.1433
0.206941,-11.0045
2.00908,-11.7364
3.66324,-12.651
5.19852,-13.3095
6.75127,-13.9176
8.16924,-14.5996
9.7453,-15.2104
11.277,-15.7939
12.5268,-16.1271
13.921,-16.834
15.2737,-17.377
16.5061,-18.1205
17.6988,-18.5401
19.0152,-19.2392
20.0612,-19.7237
20.9894,-20.0584
22.0531,-20.5439
22.7449,-20.7724
23.5559,-20.9643
24.4429,-21.2265
25.2931,-21.5607
26.0017,-21.7487
26.5267,-21.8899
27.1939,-22.0416
27.7788,-22.2008
28.1006,-22.2997
28.3757,-22.3776
28.4597,-22.3204
28.4177,-22.208
28.4313,-22.1617
28.4773,-22.1315
28.5344,-22.0884
28.4974,-22.0781
28.5215,-22.0445
28.3656,-21.9354
28.2332,-21.7883
28.1522,-21.676
28.1088,-21.5432
28.0896,-21.4407
28.0818,-21.4142
28.1559,-21.3707
28.1216,-21.3164
28.1138,-21.2968
28.0577,-21.277
27.9945,-21.2183
27.9438,-20.9283
27.9916,-20.1249
28.0667,-19.6431
28.1248,-19.2987
28.1743,-18.5193
28.1965,-17.774
28.1069,-16.989
28.0158,-16.3255
27.9425,-15.686
27.9122,-14.821
27.9604,-13.9573
27.8672,-12.7673
27.8326,-11.5261
27.8025,-10.6487
27.5382,-9.53107
27.249,-8.27524
27.1045,-7.37812
27.1666,-6.09395
27.0973,-5.1562
26.9652,-4.22776
26.7871,-2.98448
26.714,-2.08278
26.5188,-0.985941
26.2151,0.0707667
25.8792,1.23939
25.442,2.53139
25.1515,3.78747
24.6627,5.0649
24.3014,6.5117
23.9928,7.74489
23.5553,8.9034
23.2639,10.499
22.9453,12.0427
22.4323,13.5082
22.3465,15.0315
22.2688,16.1449
21.9434,17.2415
21.3462,18.5431
20.9183,19.4882
20.5586,20.2872
20.2189,20.8345
19.9749,21.3014
19.7809,21.5616
19.7293,21.7489
19.7924,21.7851
19.8863,21.7712
19.9984,21.7125
19.9368,21.6287
19.9331,21.6008
19.8735,21.3429
19.8779,21.2545
19.9144,21.4506
19.9929,21.3299
20.0407,21.2389
20.1108,21.1974
20.1418,21.1573
20.1813,21.1263
20.2536,21.0953
20.3535,21.089
20.5208,21.0658
20.8792,21.1289
21.1261,21.4384
21.1493,21.9399
21.0737,22.3776
