x,y
62.7024,75.9965
62.3241,75.3301
61.9181,74.9493
61.4135,74.7552
60.8914,74.0396
60.299,73.3464
59.63,72.464
58.9792,71.4735
58.2779,70.3145
57.5033,69.0675
56.5517,67.3018
55.5662,65.8484
54.3758,64.1693
53.037,62.4859
51.5893,60.7191
49.9523,58.5661
48.637,55.6468
47.1255,53.3945
45.6555,51.389
44.3293,48.3169
42.7653,46.1447
41.2366,43.4907
39.6916,40.8045
38.3395,38.7404
37.0027,36.6383
35.5758,35.3102
34.5218,34.0107
33.432,32.8085
32.6627,31.6385
31.9871,29.8492
31.1543,28.9383
30.2774,28.4323
29.6376,27.3567
28.74,27.2709
28.1409,26.5773
27.5993,26.566
27.2083,26.6288
27.1728,26.6267
27.4195,26.6363
27.779,26.6701
28.1929,26.6911
28.5739,27.1505
54.6037,73.6591
55.0412,73.985
55.4751,74.2256
56.0692,74.3108
56.7729,74.3704
57.5604,74.4524
58.4259,74.5827
59.2021,74.6275
60.0709,74.3616
61.0354,74.1539
62.3417,73.9155
63.7499,74.1662
65.504,73.8291
67.4932,73.4924
69.8853,72.796
71.9838,72.2539
74.0001,71.636
76.1021,70.7749
78.2506,69.7213
80.443,68.7481
82.4948,66.8885
84.8848,65.0782
87.0724,63.4303
89.3359,61.5937
91.5315,58.8871
93.618,56.2702
95.0873,53.627
96.5406,51.2607
97.4611,49.3947
98.1723,46.7812
98.8074,43.9852
99.1839,40.6782
99.2662,37.519
98.9147,35.4797
98.8544,33.7531
98.1059,32.2428
97.2567,30.7557
96.3446,29.0707
95.2886,27.6994
94.1112,26.5079
93.061,25.381
91.9381,24.6758
90.6658,24.2711
89.3714,23.999
88.0194,23.9647
86.423,24.0884
84.5547,24.38
82.4141,24.7524
79.971,25.276
77.0397,26.0056
74.0933,26.5558
71.0706,27.2003
67.9411,27.5905
64.749,28.6888
61.7128,30.2396
58.9223,31.8547
56.2102,33.4501
53.6528,35.6438
51.4406,37.4336
49.547,39.2655
47.7579,40.572
46.1271,41.6721
44.8563,42.4049
44.2571,42.5893
44.0895,42.5896
44.0573,42.7254
44.0998,42.7052
44.3022,42.4886
44.4579,42.2538
44.493,42.6364
44.5955,42.6826
44.7425,42.5235
45.046,42.1597
45.1882,42.0268
45.2055,42.2028
45.3021,42.2388
45.2777,42.1433
45.3167,42.1405
45.3171,42.1367
45.3235,42.0976
45.4076,41.7004
45.4254,41.6759
45.4265,41.7188
45.3032,42.1985
45.3594,42.1313
45.3567,42.1123
45.275,42.3095
45.4432,41.902
