x,y
28.104,72.0449
28.2656,71.4497
28.2365,71.1086
28.1671,70.8327
28.0916,70.6753
27.9798,70.3723
27.9852,69.9374
28.1732,69.5927
28.2922,69.2494
28.3388,68.7753
28.4087,68.1811
28.609,67.5149
28.9156,66.9686
29.3743,66.2924
29.9728,65.5579
30.8936,64.8557
32.1834,63.9249
33.751,62.9799
35.7901,61.8511
38.1518,60.3995
40.4659,58.9231
42.7476,57.2044
44.9453,55.9369
47.2964,54.5432
49.9362,53.1406
52.9761,51.2587
56.1926,49.2303
59.0164,47.3164
61.6419,45.5831
64.4054,43.8623
66.9916,41.9865
69.5349,39.8435
71.8661,37.9011
74.2376,36.0939
76.6086,34.3855
79.0401,32.6655
81.1706,31.067
83.0697,29.5775
84.7222,28.2493
86.3264,27.2046
87.7348,26.359
88.9668,25.5551
90.0273,24.8944
91.0335,24.0811
91.5451,23.9468
91.8633,23.8076
91.9375,24.058
72.1183,60.0563
72.5044,59.1376
72.8633,58.2611
73.3748,57.0104
74.0733,55.6328
75.0607,53.6828
76.1644,51.6207
77.4546,50.26
79.0833,47.6966
80.5526,45.546
82.3515,42.6795
83.9572,39.8595
85.5505,37.3711
87.5441,34.199
89.4528,30.7231
91.4835,28.1475
93.5707,25.265
95.1892,22.7169
96.376,19.9885
97.2336,17.839
98.1293,16.4541
98.7612,15.1047
99.2143,14.0931
99.4145,13.0923
99.5218,12.454
99.3873,12.2308
99.0005,12.104
98.1299,11.9966
96.785,11.9287
94.8902,12.2044
93.195,12.484
91.7674,13.2599
90.8419,13.6465
89.8847,14.0076
88.9898,14.631
88.0595,15.0737
87.0044,15.3958
85.6307,16.0913
83.7709,16.7212
81.0941,17.253
77.8222,17.8735
74.0566,18.0393
70.2471,18.5557
66.6132,18.8526
63.1771,19.1552
60.352,20.044
57.5293,21.0082
54.7502,22.284
51.7665,23.5203
48.705,24.863
45.713,26.1679
42.5832,28.1231
39.8929,29.5491
37.6239,30.6908
35.667,31.5461
34.0568,32.1942
32.7274,32.5671
31.4604,32.8238
30.5164,33.1907
29.7093,33.2682
29.229,33.4424
28.973,33.3701
29.1039,33.3974
