x,y
16.9792,39.9596
17.0324,40.2501
17.0318,40.311
17.0711,40.2893
17.2236,40.554
17.3037,40.775
17.4682,40.7257
17.6444,41.1582
17.9269,41.267
18.3034,41.425
18.7762,41.7334
19.3307,41.9545
20.0115,42.0801
20.9034,42.4774
21.8087,42.8676
22.9006,43.3917
24.1597,44.0344
25.6412,44.7211
27.3385,45.5352
29.059,46.4449
30.6625,47.216
32.0387,48.1504
33.2399,48.9075
34.4622,49.5937
35.7556,50.2459
37.0706,51.0474
38.3033,52.0622
39.3577,53.0685
40.0193,53.9454
40.6878,54.603
41.2397,55.3549
41.7406,55.7949
42.3429,56.2918
43.0006,56.5508
43.657,56.7732
44.3274,57.2161
45.155,57.4979
45.853,58.4084
46.5348,58.8341
47.194,59.5803
47.8239,60.2328
48.5158,60.8697
49.0353,61.3462
49.6266,61.8822
50.2408,62.4127
50.902,62.8099
51.6714,63.3395
52.3361,63.9861
52.963,64.5029
53.3251,64.8875
53.5631,65.2404
53.734,65.3184
53.8561,65.4196
53.8982,65.4201
53.8556,65.395
53.8579,65.3157
53.8692,65.2635
53.8509,65.4756
53.9048,65.4727
53.898,65.4753
53.8559,65.4974
53.8498,65.355
53.8259,65.2323
53.8315,65.0326
53.9779,64.9828
54.1198,64.6679
54.3414,64.2541
54.6495,63.9332
55.2578,63.5794
55.8003,63.1251
56.2456,62.5553
56.6631,61.9339
57.2179,61.2786
57.9315,61.0544
58.5668,60.4152
59.4541,59.8499
60.2581,58.9929
61.286,58.2137
62.4749,57.2747
63.7899,56.1058
64.8363,54.9238
65.7705,53.8935
66.5591,52.8458
67.4063,51.9187
68.0559,50.616
68.6652,49.3486
69.0181,48.1955
69.069,47.5759
69.3161,46.7006
69.4811,46.0479
69.5085,45.3904
69.3627,44.9231
69.2243,44.6517
69.0651,44.433
68.9873,44.0054
68.8689,43.8487
68.7647,43.6431
68.6169,43.4187
68.3972,43.1332
68.2493,42.8777
68.1303,42.4966
67.9711,42.3519
67.7246,41.9271
67.4223,41.5566
67.0032,41.0641
66.5334,40.4709
66.0741,39.9396
65.4893,39.5527
64.9782,38.8143
64.5174,38.2685
63.9421,37.813
63.3089,37.3148
62.6597,36.8995
62.0567,36.4837
61.4434,35.8615
60.7844,35.5689
60.1639,35.2305
59.5871,34.9038
58.9337,34.6767
58.3439,34.615
57.7271,34.6335
57.1045,34.6592
56.6131,34.2042
56.0219,34.5339
55.4182,34.7249
54.7019,34.9224
53.8912,35.1402
53.0659,35.2308
51.953,35.4199
50.9836,35.5754
50.0819,35.3928
49.0569,35.5859
48.3083,35.8674
47.4502,36.4216
46.7272,36.9045
45.928,37.4996
44.9986,38.1479
43.98,38.8173
43.2435,39.4892
42.6883,40.0988
42.2339,40.65
42.0113,40.95
41.5661,41.6121
41.2196,42.2046
41.0291,42.7884
40.7554,43.4056
40.5118,43.8313
40.2842,44.3002
40.1094,44.5684
40.0912,44.8058
40.1109,45.0344
40.065,45.5543
40.0021,46.0338
39.8951,46.4703
39.9564,46.9215
40.0046,47.2553
39.9493,47.6288
39.6702,48.4496
38.861,49.512
38.1742,50.4834
38.0372,50.8814
38.2114,51.1606
38.3329,51.5907
38.3151,51.9136
38.3293,52.2468
38.3497,52.2786
38.4883,52.1602
38.5676,52.024
38.7592,51.7333
