x,y
71.1707,69.5228
71.0881,69.5656
71.0723,69.4667
71.0657,69.324
71.0472,69.1285
71.0846,68.8489
71.1733,68.7305
71.2543,68.3586
71.3875,67.8749
71.2906,67.3478
71.4559,66.8112
71.4995,66.1714
71.3606,65.1363
71.4354,64.4115
71.6699,63.3316
71.8631,62.023
71.8815,61.1492
71.976,59.886
72.1014,58.6821
72.1887,57.4026
72.2674,56.1152
72.355,55.0383
72.3965,53.9386
72.3772,52.7817
72.3297,51.5309
72.4002,50.2115
72.456,49.0154
72.566,47.6093
72.6495,46.1793
72.6232,44.4698
72.78,42.8706
72.7099,41.3983
72.4874,39.96
72.5158,38.5762
72.5799,37.0597
72.5823,35.5944
72.4378,34.4819
72.4701,33.0691
72.5382,31.8837
72.6172,30.7389
72.6372,29.6833
72.611,28.5384
72.712,27.3205
72.7166,26.3101
72.6861,25.3593
72.7003,24.3789
72.7723,23.291
72.8605,22.3821
72.9485,21.3502
73.0816,20.4504
73.1304,19.6737
73.0285,19.0837
73.0282,18.5146
73.1119,17.7217
73.161,17.1022
73.1689,16.4497
73.2184,15.8711
73.2339,15.0615
73.2212,14.8005
73.1506,14.3977
73.0779,14.1158
72.9767,13.6757
72.8997,13.3412
72.8054,12.967
72.8077,12.6065
72.8784,12.475
72.8688,12.5573
72.9471,12.7429
99.6585,38.1968
99.2139,38.2922
98.316,38.6489
97.5994,38.8903
96.7439,39.0615
95.8592,39.1889
94.7871,39.4325
93.6844,39.5143
92.5408,39.8034
91.4032,39.9387
90.1517,40.1289
89.0547,40.2853
87.7453,40.5461
86.5429,40.64
85.3322,40.6843
83.922,40.8065
82.4871,40.9119
80.922,41.1414
79.2954,41.4503
77.5832,41.8006
75.7281,42.148
73.517,42.5779
70.7476,43.2423
67.5975,43.8215
64.4338,44.3765
61.174,45.0034
57.6348,45.5233
55.0325,46.0522
53.4161,46.5629
52.037,46.955
51.0343,47.1364
50.2068,47.3212
49.4897,47.4912
48.6505,47.536
47.8972,47.6513
46.9312,47.7317
45.6934,47.9459
44.3911,48.2493
42.8856,48.4964
41.3302,48.8964
39.9714,49.1878
38.8556,49.3423
37.8355,49.4247
37.1945,49.429
36.6957,49.5038
36.2621,49.5001
35.9186,49.5755
35.628,49.5836
35.4705,49.5647
35.3081,49.6763
35.3234,49.6594
35.3765,49.5178
35.5224,49.4179
35.7149,49.4792
35.8995,49.5773
95.2534,64.4985
95.0429,64.3248
94.7922,64.1107
94.4768,63.8358
94.1152,63.7312
93.6963,63.5574
93.2949,63.5269
92.7403,63.3151
92.1908,63.0252
91.5846,62.686
90.8599,62.4159
90.0489,61.9732
89.2146,61.608
88.2798,61.2019
87.471,60.7395
86.5412,60.2369
85.5587,59.8994
84.5715,59.4509
83.5195,58.8433
82.3739,58.1765
81.2269,57.6369
79.8242,57.1098
78.5024,56.6971
77.206,56.0311
75.6982,55.3398
74.2441,54.4864
72.7548,53.7663
71.3476,52.9149
69.8161,52.0951
68.2844,51.2925
66.5725,50.4345
64.6579,49.4919
62.4966,48.3526
60.3228,47.3689
58.4244,46.3557
56.8897,45.3382
55.3904,44.5385
54.1716,44.0829
53.2949,43.0184
52.4234,42.4016
51.6526,41.7184
50.8239,41.078
50.149,40.3571
49.2958,39.9054
48.5176,39.2593
47.6051,38.6765
46.7201,38.0972
45.849,37.5034
44.9286,36.8761
43.9528,36.4273
42.9925,35.9002
42.0124,35.4514
41.0378,34.9607
40.1488,34.4904
39.1767,34.0392
38.2539,33.4345
37.4043,33.0319
36.4602,32.5124
35.5564,32.0139
34.6738,31.5408
33.831,30.9999
33.0248,30.6754
32.3302,30.3148
31.7035,29.9323
31.0735,29.4865
30.4494,29.1684
29.7149,28.726
28.9971,28.4576
28.2606,28.0264
27.3363,27.4624
26.4374,27.0553
25.3834,26.4794
24.2935,25.974
23.4036,25.3419
22.4951,24.8753
21.7473,24.5484
21.2775,24.4372
21.083,24.25
21.1307,24.1824
21.1741,24.2868
21.2948,24.4196
21.4942,24.4633
