x,y
84.8751,64.2258
84.6534,64.0791
84.4103,63.9679
84.0874,63.5909
83.6864,63.5224
83.1695,63.7144
82.5686,63.515
81.9222,63.3261
80.88,63.0454
80.0137,62.8399
79.1779,62.4143
78.4432,62.286
77.5799,61.9906
76.7504,61.7159
76.0351,61.4307
75.094,61.053
74.1762,60.8519
73.2722,60.4826
72.0204,60.1049
70.6681,59.7966
69.0017,59.2924
66.6647,58.742
63.6263,58.1685
61.3101,57.3059
59.9774,56.5536
58.6597,55.9552
57.2144,55.0933
55.8886,54.5833
54.7703,54.0536
53.833,53.6142
52.8541,53.241
51.8756,52.7326
50.8023,52.1436
49.5263,51.65
48.1626,50.972
46.5578,50.3604
44.9163,49.7886
43.315,49.0618
41.6514,48.4366
40.0869,47.8267
38.8571,47.2724
38.1049,46.9301
37.4643,46.6108
37.1042,46.3303
36.9138,46.0831
36.8148,46.0138
36.7663,46.0169
36.7952,45.8731
36.7362,45.7722
36.785,45.6699
36.8481,45.5565
36.947,45.4506
37.0655,45.5171
37.2702,45.4173
37.4903,45.5024
37.6733,45.5346
37.8925,45.6199
38.1176,45.5888
38.38,45.5519
38.636,45.6525
38.8967,45.9655
39.1593,45.6795
39.5413,45.7433
39.8587,45.7482
40.1532,45.6464
40.4926,45.6413
40.9522,45.4955
41.3439,45.3346
41.859,44.9966
42.4318,44.5891
42.9763,44.1803
43.6951,43.7377
44.4307,43.1866
45.3702,42.4856
46.4626,41.6222
47.6941,40.6322
49.036,39.615
50.2989,38.5485
51.5584,37.4364
52.6878,36.6136
53.7999,35.5243
54.8372,34.494
55.8192,33.4131
56.8242,32.42
57.6098,31.4581
58.5479,30.4723
59.2594,29.7076
59.9533,28.8377
60.6498,28.0251
61.4988,27.0131
62.3842,26.0247
63.3205,24.9815
64.3095,23.9732
65.2278,22.696
66.0551,21.6881
66.9135,20.5043
67.736,19.4391
68.5467,18.264
69.1347,17.2562
69.7427,16.2656
70.2773,15.495
70.7252,14.8512
70.9823,14.3821
71.178,14.0473
71.2918,13.893
71.3121,13.8466
71.2393,13.9861
71.2909,14.0264
71.4205,14.1183
71.6673,14.0891
71.7908,14.1142
71.7408,14.3217
71.6072,14.5937
71.6352,14.7716
71.7498,14.9539
71.8295,15.0363
71.9308,15.3204
71.9684,15.5491
71.9665,15.7452
71.9524,15.9348
71.9033,16.228
71.8471,16.4733
71.7989,16.7464
71.7504,17.1746
71.7694,17.5976
71.864,17.9955
71.9188,18.5111
72.0806,19.2545
72.2618,19.9786
72.3019,20.5333
72.3189,21.0928
72.3736,21.5505
72.4137,22.3015
72.489,23.0215
72.6681,23.853
72.7953,24.7707
73.0285,25.6936
73.3057,26.6449
73.7441,28.0035
74.4794,29.9633
75.1711,31.8898
75.1405,33.5252
75.1732,34.8345
75.2068,36.2685
75.3003,37.7645
75.3566,39.0292
75.4231,40.2021
75.4731,41.0963
75.5051,41.8887
75.5845,42.8512
75.7175,43.8728
75.7906,44.9704
75.8165,45.9582
75.8634,47.0186
75.9716,47.9967
76.0198,49.0838
76.1097,50.2297
76.1516,51.2415
76.2133,52.2284
76.3264,53.3112
76.3637,54.5362
76.5332,55.6629
76.6736,56.6694
76.9631,57.7848
77.1207,58.6797
77.2364,59.5886
77.3358,60.4527
77.3691,60.9743
77.3515,61.4582
77.3916,61.9705
77.5642,62.3431
77.8793,62.8696
78.1644,63.5404
78.4101,64.3071
78.4856,64.8501
78.6581,65.3431
78.6779,65.7028
78.6478,66.0541
78.6746,66.3838
78.7368,66.434
78.8024,66.7028
78.8516,67.0388
78.9992,67.4158
79.1175,67.6064
79.148,67.9137
79.1119,68.4328
79.0941,69.0137
79.1492,70.0875
79.2449,72.0863
79.4196,72.7361
79.5338,73.0043
79.7224,73.5343
79.7055,74.9713
79.5839,76.6258
79.394,78.065
79.0387,79.3262
78.7971,80.2745
78.7287,80.6919
78.7199,80.6571
