x,y
82.9092,60.5613
82.1711,59.6676
81.4228,59.4577
80.888,59.3366
81.0562,59.4362
81.0411,59.5231
80.8774,59.326
80.7462,59.2013
80.5975,58.9453
80.3569,58.8078
80.0589,58.6131
79.8891,58.4166
79.7814,58.0056
79.6835,57.7239
79.6437,57.4721
79.5473,56.8708
79.544,56.4438
79.5039,56.0297
79.4865,55.4293
79.4708,54.9923
79.3709,53.8743
79.3468,52.4006
79.2803,50.7294
79.1913,48.7762
79.0916,46.8343
78.8196,44.6189
78.6033,41.9306
78.4208,39.1337
78.2104,35.8123
77.883,32.6744
77.6699,29.4176
77.265,26.543
76.6205,23.7193
76.3082,21.1721
76.1817,17.086
76.2175,14.2938
76.168,11.964
76.0517,10.4308
75.8479,9.10122
75.7302,8.12016
75.7045,7.36538
75.6036,6.81754
75.601,6.2969
75.6685,5.97761
75.8371,5.30953
75.9649,4.9205
76.1515,5.37747
76.2927,5.30301
76.4566,5.37302
76.4953,5.46713
76.7368,5.47818
76.6895,5.71446
76.6884,5.85434
76.7376,5.92396
76.7119,6.02447
76.7753,6.08153
76.8125,6.1351
79.2037,30.1661
78.7551,30.8446
78.0188,31.8271
77.5998,32.2796
77.4666,32.5314
77.3068,32.5428
77.0803,32.4327
76.8941,32.3235
76.5976,32.0243
76.072,32.0888
75.3345,31.8644
74.32,32.017
73.3201,31.9208
72.0167,31.5918
70.4629,32.0059
68.8101,31.9799
66.7854,32.0667
64.5858,32.2023
62.2631,32.3806
59.8063,32.0635
57.3542,31.9657
54.8413,32.0855
52.1441,32.1219
49.3178,32.2236
46.5605,31.986
43.7492,32.0306
41.36,31.6944
39.0473,31.6988
36.8722,31.3589
34.9056,30.8022
32.9827,30.5418
31.2409,30.3427
29.5899,30.2855
28.1763,30.0938
27.0394,29.813
25.9487,29.5845
25.1067,29.5681
24.4993,29.385
24.225,29.1821
24.2041,29.2847
24.2232,29.5298
24.3393,29.5262
24.5149,29.5332
24.6882,29.6717
24.8409,29.865
25.0467,29.8165
25.2281,29.9046
25.3435,29.8478
25.4174,29.8418
25.4995,29.8167
