x,y
66.7551,9.04372
67.553,10.5379
68.2006,11.9616
68.1782,12.7854
68.4937,13.4491
68.6514,14.1716
69.0469,14.901
69.6176,15.5323
70.1406,16.263
71.0972,17.1904
72.0008,17.9182
72.8298,18.981
74.0568,19.938
74.3939,21.3001
74.8994,22.6096
75.4847,23.435
75.6652,24.5269
75.8633,25.7073
76.1025,27.0186
76.2169,28.1431
76.2188,29.4045
76.0523,30.6654
75.5145,32.2347
74.8157,33.7733
73.9511,34.9829
72.8891,36.2748
71.865,37.2248
70.7416,38.0548
69.5231,38.9301
67.9617,39.691
65.9505,40.3049
63.8776,41.1051
62.0687,41.2052
60.3718,41.245
58.6966,41.2203
57.2891,40.8415
56.0933,40.3443
55.0861,39.8229
53.9453,39.2065
53.0815,38.3842
51.9559,37.5053
51.0066,36.3531
50.0414,35.2729
49.0942,33.968
47.7869,32.8551
46.8273,31.2989
45.7486,29.9629
45.1713,28.7236
44.6611,27.3021
44.2354,25.8997
44.301,24.603
44.7132,23.278
45.2896,22.1269
45.991,21.0928
46.8036,19.9851
47.8089,18.9774
48.8512,18.0014
50.3128,17.0849
51.7474,15.9716
53.733,14.8874
55.9776,13.8711
58.066,12.9324
60.2196,12.4243
116.385,7.83482
115.615,8.65809
114.873,9.25935
114.346,9.88303
113.41,10.4576
111.762,11.2265
109.359,12.246
106.56,13.1987
104.942,13.4453
103.781,13.2605
102.416,13.0062
100.94,13.0578
99.3507,12.7717
97.5723,12.8211
95.2103,13.0449
91.4542,13.9444
86.0677,14.7845
79.4468,15.0875
75.5045,15.5053
71.3486,15.5133
67.6414,15.6898
65.5049,15.5922
63.8521,15.5449
62.1285,15.3562
60.7459,15.143
59.7548,14.7595
