x,y
73.9477,59.6013
73.3057,59.2391
72.4622,58.6557
71.3734,58.1038
70.396,57.4703
68.1747,57.0979
65.5535,55.6061
62.8181,54.3536
60.1384,52.9083
57.6299,51.0396
54.4194,49.7154
51.2519,48.7229
47.9359,47.6281
44.9776,46.626
41.855,45.5855
39.4594,44.0689
36.6998,43.0312
33.9944,42.5179
31.99,41.4659
29.8884,41.2222
28.3524,40.4978
27.0398,39.8664
25.9195,39.4582
24.9162,38.6809
24.1184,38.2692
23.7938,37.9574
24.0074,37.868
24.6314,37.6419
25.4409,37.3923
27.0812,37.0375
29.1715,36.631
32.0258,36.252
35.6976,35.6124
39.2673,34.9321
42.8878,34.0261
47.2599,32.4344
51.1195,30.8807
54.6075,29.4846
57.9533,28.1481
61.1232,26.7727
64.2929,25.4322
66.7689,24.2375
69.0656,23.3532
70.8622,22.5112
72.8495,21.4618
73.9157,21.2219
74.9195,20.7337
74.907,20.6959
74.9277,21.0231
74.7113,21.3283
74.654,21.5993
74.2014,22.2861
73.5515,23.1658
73.2133,23.5214
72.9375,24.3403
72.5417,24.7211
71.4483,26.1512
71.1418,28.3495
70.5605,30.8633
70.2062,33.4549
69.1212,36.683
68.2675,39.7077
67.6426,42.2258
65.9718,44.2604
64.7854,46.9845
63.2759,49.5674
62.4103,51.0071
61.7645,52.4157
60.3078,53.7757
59.0226,55.7541
58.3399,57.1456
57.6976,58.8796
57.1796,61.4093
56.616,63.1103
56.0509,64.4574
55.5917,65.5108
55.443,66.2759
54.514,67.6625
54.137,68.3071
54.0226,68.6664
53.5659,68.5052
