x,y
30.9097,25.1684
30.6221,25.5883
30.6685,25.505
30.79,25.5637
31.0488,25.676
31.3812,25.6339
31.8374,25.6204
32.6389,25.6075
33.5201,26.0628
34.8209,26.7591
37.4927,27.5062
39.6028,28.5088
42.07,29.3908
44.2557,30.3099
46.4348,31.1652
48.9288,31.8597
51.0437,32.3382
53.2476,33.01
55.7455,33.8
58.3418,34.169
60.2879,34.6266
62.1218,35.1124
63.9488,35.5598
65.67,35.9967
67.2749,36.0913
68.4217,35.9391
69.4153,35.949
70.3667,35.9704
71.2208,35.7831
72.0076,35.5264
72.7666,35.1928
73.5537,34.9945
74.2982,34.5799
75.2196,33.7348
76.4397,32.7216
77.6418,31.5949
79.0821,29.9215
80.403,28.5871
81.9067,26.6807
83.273,24.6382
84.1769,23.025
84.8821,21.1159
85.3102,19.2097
85.3628,17.5683
85.1263,16.0699
84.6776,14.4784
83.9915,13.0812
83.2653,12.0503
82.2554,11.2696
80.9519,10.7494
79.8585,10.4286
78.5655,10.0938
77.3746,10.3192
76.0907,10.522
75.1908,10.9151
74.0423,11.334
72.6809,12.2343
71.1373,12.8733
68.9569,13.58
65.6521,14.5618
61.9463,15.8048
58.7068,17.4002
55.8553,18.5997
52.9973,20.5339
50.8489,22.4486
50.2742,24.2352
49.8949,25.678
49.4247,26.7936
49.3625,27.696
49.4983,28.8243
49.6795,29.741
50.1696,30.5184
50.4634,31.613
50.682,32.6825
50.5928,33.6252
50.3802,34.5912
50.0663,35.5564
49.687,36.3434
49.3303,36.8107
49.086,36.9634
49.1091,36.9292
49.176,36.7986
49.2268,36.2479
49.2163,35.7329
49.2705,35.1208
49.3312,34.2624
49.4488,33.3594
49.4765,32.6365
49.4471,32.0405
49.6274,31.1962
49.8086,30.5083
50.1862,29.8961
50.4949,29.3396
50.7696,28.4542
50.9407,27.4008
51.0375,25.9742
51.1005,24.7061
51.2021,23.0162
51.2394,21.2737
51.2414,19.3082
51.4135,17.3227
51.514,15.3198
51.7257,13.6542
51.7683,12.1039
51.8245,10.4754
51.809,9.0374
51.6882,7.78293
51.6643,6.49086
51.5042,5.32363
51.3194,4.45624
51.1477,3.70706
51.0812,2.8935
50.9403,2.40332
50.9359,1.87192
50.9738,1.12785
51.0903,0.256932
51.1937,-0.485609
51.3054,-1.17699
51.7151,-1.86496
52.0391,-2.65951
52.6432,-3.62652
53.5897,-4.59438
54.6963,-5.59144
